product_code;route_key;operation_sequence;operation_name;work_center_name;norming_type;capacity_pcs_per_shift;capacity_pcs_per_shift_per_person;shift_minutes;marking_type;crew_size;min_crew_to_operate;crew_productivity_rule;crew_notes;estimated_duration_minutes
00-000937;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-000937;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-000931;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000931;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-000773;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000773;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-001586;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-001586;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-000967;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000967;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-000772;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000772;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-001259;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-001259;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-001587;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-001587;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-000631;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
