Наименование;Код продукции;Статус заказа;Дата отгрузки;Номер заказа;Покупатель;Количество
GECO Крем универсальный СП, 100 мл, Лам, Винт;00-000970;Отгрузить;2 февраля 2026 г.;НФ00-003531;Покупатель 9;538
GECO Паста для очистки СП, 200 мл, Экст, Винт;00-000648;Отгрузить;2 февраля 2026 г.;НФ00-003531;Покупатель 9;435
GECO Спрей от пота АНТИБАКТЕР., 100 мл, Флакон, Распылитель;00-001645;Отгрузить;2 февраля 2026 г.;НФ00-003531;Покупатель 9;604
GECO Крем универсальный СП, 100 мл, Лам, Винт;00-000970;Отгрузить;2 февраля 2026 г.;НФ00-003532;Покупатель 9;811
GECO Паста для очистки СП, 200 мл, Экст, Винт;00-000648;Отгрузить;2 февраля 2026 г.;НФ00-003532;Покупатель 9;670
GECO Спрей от насекомых 3в1, 100 мл, Флакон, Распылитель;00-001425;Отгрузить;2 февраля 2026 г.;НФ00-003532;Покупатель 9;34
GECO Спрей от пота АНТИБАКТЕР., 100 мл, Флакон, Распылитель;00-001645;Отгрузить;2 февраля 2026 г.;НФ00-003532;Покупатель 9;1191
GECO Крем универсальный СП, 100 мл, Лам, Винт;00-000970;Отгрузить;2 февраля 2026 г.;НФ00-003533;Покупатель 9;911
GECO Паста для очистки СП, 200 мл, Экст, Винт;00-000648;Отгрузить;2 февраля 2026 г.;НФ00-003533;Покупатель 9;846
GECO Спрей от насекомых 3в1, 100 мл, Флакон, Распылитель;00-001425;Отгрузить;2 февраля 2026 г.;НФ00-003533;Покупатель 9;66
GECO Спрей от пота АНТИБАКТЕР., 100 мл, Флакон, Распылитель;00-001645;Отгрузить;2 февраля 2026 г.;НФ00-003533;Покупатель 9;935
GECO Крем универсальный СП, 100 мл, Лам, Винт;00-000970;Отгрузить;2 февраля 2026 г.;НФ00-003534;Покупатель 9;486
GECO Паста для очистки СП, 200 мл, Экст, Винт;00-000648;Отгрузить;2 февраля 2026 г.;НФ00-003534;Покупатель 9;258
GECO Спрей от насекомых 3в1, 100 мл, Флакон, Распылитель;00-001425;Отгрузить;2 февраля 2026 г.;НФ00-003534;Покупатель 9;2
